subjects	label
subject5	5
subject18	2
subject20	5
subject25	2
subject26	3
subject27	1
subject47	5
subject55	1
subject72	3
subject81	4
subject120	1
subject121	2
subject123	5
subject129	3
subject130	5
subject140	5
subject141	5
subject142	4
subject144	2
subject146	3
subject165	1
subject170	2
subject172	4
subject176	5
subject183	5
subject185	4
subject188	3
subject189	5
subject197	4
subject212	4
subject214	4
subject223	3
subject230	3
subject234	4
subject236	3
subject240	4
subject245	1
subject249	5
subject267	5
subject278	3
subject288	5
subject304	5
subject312	3
subject314	3
subject319	2
subject352	2
subject360	4
subject364	5
subject370	2
subject371	4
subject377	4
subject385	2
subject412	3
subject426	5
subject435	2
subject446	3
subject452	4
subject465	2
subject466	1
subject477	5
subject490	3
subject492	1
subject495	3
subject497	2
subject514	5
subject524	5
subject526	1
subject539	3
subject553	3
subject557	4
subject569	3
subject579	5
subject582	2
subject583	4
subject592	1
subject600	1
subject602	2
subject604	3
subject610	3
subject617	5
subject619	2
subject620	4
subject621	5
subject625	5
subject643	2
subject644	1
subject645	5
subject647	1
subject648	4
subject656	2
subject669	2
subject671	1
subject673	4
subject674	1
subject675	5
subject677	1
subject683	3
subject691	5
subject695	3
subject702	2
subject717	1
subject722	2
subject723	1
subject724	1
subject727	1
subject738	1
subject756	1
subject761	2
subject768	1
subject788	3
subject791	1
subject794	2
subject816	1
subject818	1
subject821	2
subject822	3
subject845	5
subject846	5
subject851	3
subject853	3
subject860	4
subject861	2
subject862	2
subject863	4
subject864	2
subject867	1
subject875	3
subject897	3
subject900	1
subject903	1
subject906	2
subject924	2
subject927	2
subject929	1
subject935	2
subject936	4
subject950	4
subject951	3
subject977	5
subject984	4
subject1009	2
subject1011	4
subject1022	3
subject1030	1
subject1040	5
subject1042	2
subject1057	5
subject1066	3
subject1102	2
subject1103	1
subject1118	4
subject1135	1
subject1139	3
subject1153	1
subject1162	4
subject1166	4
subject1168	3
subject1172	5
subject1174	3
subject1177	4
subject1179	5
subject1180	2
subject1192	2
subject1195	1
subject1201	2
subject1204	2
subject1230	2
subject1236	1
subject1240	5
subject1242	5
subject1249	4
subject1251	4
subject1252	2
subject1258	2
subject1280	1
subject1285	1
subject1291	2
subject1297	2
subject1332	3
subject1336	1
subject1341	2
subject1347	5
subject1349	4
subject1356	1
subject1363	2
subject1375	5
subject1402	3
subject1404	2
subject1423	2
subject1424	2
subject1439	5
subject1441	4
subject1451	4
subject1463	3
subject1488	4
subject1493	3
subject1495	5
subject1502	2
subject1509	1
subject1510	2
subject1514	4
subject1520	5
subject1523	2
subject1526	4
subject1528	2
subject1530	3
subject1533	4
subject1542	2
subject1558	3
subject1587	4
subject1588	1
subject1595	3
subject1629	2
subject1631	1
subject1648	1
subject1659	2
subject1663	4
subject1665	3
subject1666	2
subject1678	4
subject1687	2
subject1691	1
subject1707	4
subject1709	2
subject1717	4
subject1727	3
