subjects	label
subject3815	4
subject3816	5
subject3823	5
subject3838	5
subject3880	4
subject3896	3
subject3900	3
subject3903	4
subject3955	2
subject3962	1
subject3963	3
subject3974	2
subject3979	1
subject3989	4
subject3996	5
subject4010	4
subject4023	5
subject4027	1
subject4029	3
subject4035	2
subject4054	2
subject4060	3
subject4065	5
subject4073	3
subject4082	1
subject4084	3
subject4091	2
subject4103	2
subject4105	4
subject4109	4
subject4136	2
subject4148	3
subject4151	4
subject4156	1
subject4157	5
subject4158	3
subject4164	2
subject4173	1
subject4183	2
subject4195	2
subject4224	5
subject4249	2
subject4250	4
subject4260	2
subject4261	2
subject4262	4
subject4268	3
subject4272	4
subject4273	4
subject4276	2
subject4278	2
subject4282	2
subject4293	4
subject4296	5
subject4325	3
subject4334	4
subject4337	3
subject4340	2
subject4342	2
subject4359	1
subject4374	3
subject4380	1
subject4384	1
subject4411	3
subject4412	4
subject4416	4
subject4423	3
subject4424	1
subject4428	5
subject4429	1
subject4432	5
subject4433	2
subject4436	5
subject4446	4
subject4464	2
subject4469	2
subject4470	5
subject4479	1
subject4487	1
subject4490	3
subject4496	3
subject4505	3
subject4511	5
subject4515	5
subject4542	1
subject4544	1
subject4546	2
subject4548	2
subject4556	1
subject4569	3
subject4571	4
subject4572	4
subject4583	3
subject4605	4
subject4616	5
subject4624	5
subject4632	1
subject4634	2
subject4655	3
subject4681	2
subject4690	1
subject4698	3
subject4715	3
subject4719	2
subject4720	3
subject4724	5
subject4728	1
subject4730	3
subject4732	1
subject4746	5
subject4747	1
subject4748	3
subject4754	3
subject4762	3
subject4780	4
subject4788	4
subject4807	3
subject4813	3
subject4815	3
subject4819	5
subject4828	1
subject4832	5
subject4835	5
subject4837	5
subject4850	2
subject4853	4
subject4858	4
subject4860	4
subject4863	3
subject4865	3
subject4871	5
subject4890	2
subject4892	2
subject4907	5
subject4935	4
subject4946	2
subject4950	3
subject4953	5
subject4956	2
subject4957	3
subject4963	1
subject4970	3
subject4971	5
subject4997	3
subject5005	2
subject5012	2
subject5022	2
subject5023	3
subject5024	4
subject5048	2
subject5051	1
subject5054	3
subject5062	4
subject5073	1
subject5075	1
subject5078	1
subject5082	1
subject5097	1
subject5102	4
subject5107	3
subject5109	1
subject5114	4
subject5119	1
subject5148	5
subject5156	1
subject5197	4
subject5198	4
subject5204	3
subject5208	2
subject5212	3
subject5226	3
subject5237	1
subject5249	2
subject5251	5
subject5253	2
subject5266	1
subject5270	3
subject5288	5
subject5308	5
subject5312	2
subject5335	5
subject5343	5
subject5345	4
subject5349	2
subject5358	4
subject5364	3
subject5365	3
subject5384	2
subject5386	5
subject5395	2
subject5399	3
subject5406	2
subject5412	3
subject5413	4
subject5417	4
subject5422	2
subject5445	3
subject5451	2
subject5454	1
subject5466	4
subject5470	4
subject5474	4
subject5476	1
subject5483	3
subject5487	2
subject5506	1
subject5514	1
subject5523	5
subject5531	3
subject5535	3
subject5537	4
subject5546	3
subject5548	2
subject5555	5
subject5560	4
subject5571	2
subject5574	3
subject5586	1
subject5596	2
subject5602	4
subject5607	2
subject5623	3
subject5636	2
subject5646	2
subject5653	1
subject5655	3
subject5656	3
subject5658	2
subject5659	5
subject5666	1
subject5675	5
subject5690	5
subject5696	5
subject5711	2
subject5715	3
subject5720	4
subject5739	4
subject5742	2
subject5749	1
subject5753	1
subject5770	4
subject5773	4
subject5775	4
subject5777	2
subject5784	2
subject5786	5
subject5789	5
subject5791	1
subject5795	1
subject5798	4
subject5809	5
subject5813	5
subject5840	4
subject5848	4
subject5854	3
subject5857	3
subject5869	3
subject5872	3
subject5877	2
subject5879	2
subject5882	3
subject5896	2
subject5901	4
subject5906	4
subject5908	3
subject5920	1
subject5925	5
subject5931	1
