subjects	label
subject7573	5
subject7608	5
subject7617	5
subject7665	5
subject7715	5
subject7728	5
subject7747	2
subject7749	2
subject7755	5
subject7756	5
subject7780	1
subject7781	1
subject7797	2
subject7798	3
subject7806	4
subject7814	4
subject7820	1
subject7840	2
subject7842	4
subject7850	5
subject7861	5
subject7862	2
subject7864	3
subject7869	1
subject7870	4
subject7876	4
subject7894	5
subject7904	4
subject7919	4
subject7920	1
subject7921	3
subject7932	2
subject7935	3
subject7950	2
subject7961	3
subject7962	3
subject7973	2
subject7997	2
subject8000	5
subject8002	4
subject8004	1
subject8019	5
subject8040	5
subject8056	4
subject8058	1
subject8076	1
subject8084	2
subject8086	4
subject8092	5
subject8093	5
subject8102	4
subject8103	2
subject8104	3
subject8105	1
subject8106	5
subject8109	5
subject8118	4
subject8123	2
subject8132	3
subject8133	5
subject8135	4
subject8150	4
subject8157	2
subject8166	1
subject8173	1
subject8176	4
subject8185	4
subject8187	1
subject8200	3
subject8203	3
subject8214	5
subject8216	1
subject8236	1
subject8253	2
subject8261	2
subject8263	4
subject8276	4
subject8285	1
subject8289	1
subject8291	3
subject8297	3
subject8299	1
subject8326	4
subject8329	5
subject8335	4
subject8336	5
subject8338	3
subject8340	5
subject8347	4
subject8358	3
subject8364	3
subject8366	3
subject8372	4
subject8377	1
subject8379	5
subject8391	2
subject8393	1
subject8411	4
subject8427	4
subject8451	2
subject8455	1
subject8457	2
subject8458	3
subject8461	3
subject8467	3
subject8481	1
subject8487	2
subject8489	2
subject8498	3
subject8499	4
subject8502	4
subject8503	4
subject8504	3
subject8507	4
subject8512	4
subject8521	1
subject8549	5
subject8550	1
subject8566	1
subject8576	5
subject8595	4
subject8598	2
subject8599	2
subject8600	4
subject8613	1
subject8619	2
subject8624	4
subject8641	2
subject8642	5
subject8655	3
subject8659	1
subject8667	2
subject8668	2
subject8671	3
subject8696	4
subject8717	1
subject8725	2
subject8736	4
subject8740	3
subject8745	3
subject8749	3
subject8755	2
subject8763	2
subject8765	3
subject8770	4
subject8774	3
subject8781	2
subject8800	3
subject8835	1
subject8848	3
subject8859	1
subject8862	5
subject8865	3
subject8876	3
subject8883	3
subject8887	1
subject8892	3
subject8893	5
subject8912	4
subject8916	5
subject8920	5
subject8936	5
subject8937	2
subject8948	5
subject8969	3
subject8984	3
subject8988	3
subject8996	5
subject8997	3
subject8998	4
subject9000	5
subject9002	3
subject9004	3
subject9007	4
subject9016	5
subject9020	1
subject9034	4
subject9035	5
subject9036	5
subject9044	3
subject9061	1
subject9063	5
subject9067	2
subject9068	5
subject9075	2
subject9076	2
subject9084	5
subject9093	3
subject9097	3
subject9111	2
subject9112	2
subject9121	4
subject9126	2
subject9127	1
subject9132	5
subject9142	5
subject9143	3
subject9157	1
subject9158	5
subject9167	4
subject9170	4
subject9177	4
subject9183	4
subject9190	2
subject9205	2
subject9213	4
subject9219	5
subject9225	4
subject9230	1
subject9234	5
subject9235	1
subject9240	3
subject9247	4
subject9248	4
subject9269	4
subject9270	2
subject9272	5
subject9273	3
subject9284	4
subject9288	4
subject9292	4
subject9298	1
subject9300	4
subject9323	2
subject9328	5
subject9333	2
subject9335	2
subject9346	4
subject9348	3
subject9354	2
subject9364	5
subject9366	1
subject9384	1
subject9385	3
subject9400	2
subject9443	3
subject9450	5
subject9455	5
subject9458	3
subject9459	4
subject9460	2
subject9463	1
subject9465	3
subject9470	3
subject9477	3
subject9481	3
subject9482	3
subject9489	3
subject9492	2
subject9493	1
subject9496	3
subject9502	5
subject9508	4
subject9523	1
subject9530	2
subject9532	2
subject9541	2
subject9555	3
subject9574	5
subject9575	4
subject9593	3
subject9614	3
subject9622	2
subject9630	2
subject9642	2
subject9647	5
subject9651	2
subject9654	5
subject9662	4
subject9668	3
subject9671	3
subject9675	4
subject9678	4
subject9697	4
subject9705	1
subject9710	5
subject9719	2
subject9732	4
subject9753	3
subject9759	4
subject9765	2
subject9770	2
subject9775	5
subject9785	5
subject9787	1
subject9811	1
subject9814	5
subject9817	4
subject9821	2
subject9827	5
subject9830	2
subject9837	5
subject9838	2
subject9848	3
subject9849	1
subject9858	4
subject9880	3
subject9891	4
subject9901	4
subject9902	3
subject9905	4
subject9928	5
subject9932	2
subject9934	5
subject9939	2
subject9943	2
subject9955	1
subject9966	3
subject9971	2
subject9980	5
subject10000	1
subject10002	4
subject10013	1
subject10023	5
subject10026	2
subject10036	4
subject10038	4
subject10046	2
subject10052	2
subject10053	3
subject10088	1
subject10095	2
subject10097	2
subject10107	1
subject10123	5
subject10124	4
subject10126	3
subject10134	5
subject10138	1
subject10163	3
subject10181	5
subject10185	5
subject10201	2
subject10204	5
subject10211	1
subject10222	1
subject10232	2
subject10236	4
subject10246	2
subject10250	1
subject10258	2
subject10271	4
subject10285	5
subject10288	4
subject10292	5
subject10294	2
subject10308	4
subject10309	5
subject10319	4
subject10340	2
subject10358	1
subject10360	4
subject10362	3
